Day,Post Type,Hook,CTA
1,Educational,The fastest way local service businesses lose good leads is silence,Download the AI Local Service Revenue Kit
2,Calculator,What is one missed quote worth in your business,Try the revenue calculator
3,Script Share,Copy this missed-call text-back,Get the full script pack
4,Before/After,Before: slow quote follow-up. After: same-day booking nudge,Download the kit
5,Review Growth,Happy customers forget unless you ask at the right moment,Get the review request templates
6,Old Leads,Your old leads are not dead until you follow up well,Get the reactivation prompts
7,Founder Note,Most owners chase new leads while old leads leak out,See the workflow
8,Educational,Five-minute response beats perfect response tomorrow,Download the kit
9,Script Share,The least awkward seven-day quote follow-up,Get all follow-ups
10,Calculator,A $400 job recovered twice a month pays for this many times over,Try the calculator
11,Objection,What to say when someone says your quote is too high,Get the objection scripts
12,SOP,The daily lead review checklist,Download the SOP
13,Review Growth,Ask for reviews after the customer has felt the win,Get the templates
14,Old Leads,Send this to leads from the last 90 days,Download the kit
15,Educational,Every lead needs a next status,Use the workflow
16,Script Share,Two scheduling options beat open-ended questions,Get the script pack
17,Calculator,How much does one slow reply cost you,Try the calculator
18,Objection,How to respond when a customer found someone cheaper,Get the scripts
19,SOP,Friday is for lost-lead reasons,Download the SOP
20,Review Growth,Make reviews part of job completion,Get the templates
21,Old Leads,The best reactivation message is honest,Download the prompts
22,Educational,Your CRM can be a spreadsheet if the habit is strong,Get the kit
23,Script Share,The close-out follow-up that gets replies,Download the kit
24,Calculator,Estimate recovered revenue before buying software,Try the calculator
25,Objection,How to handle 'just researching',Get the scripts
26,SOP,Four labels that clean up lead chaos,Download the SOP
27,Review Growth,One review request and one reminder is enough,Get the templates
28,Old Leads,Old quotes need options not pressure,Download the prompts
29,Founder Note,This kit is for owners who want fewer dropped balls,Buy the kit
30,Offer,Launch price: $29 for the complete AI Local Service Revenue Kit,Buy now
